pno	dockind	pnyear	pndate	pnkind	authority	ti	appno	appyear	appdate	firstpriyear	priyear	prino	inventor	inventor-count	assignee	assignee-count	claims-count	independent-claims-count	total-references-cited-count	reference-count	citation-count	non-patent-count	ipc	cpc	app_gp	
ES2750832TT3	Grant	2020	2020-03-27	T3	ES	Novel biomarker for predicting the sensitivity to the agent directed against EGFR and use thereof	ES20150828012T	2015	2015-07-29	2014	2014;2015	KR1020140096716__2014-07-29_national;KR20140096716__2014-07-29_docdb;KR2015007964__2015-07-29_docdb;20140096716___original;PCT/KR2015/007964___original;KR20140096716___epodoc;WO2015KR07964___epodoc	`KIM, Tae Won` ` ` ` ` ;`JIN DONG HOON` ` ` ` ` ;`HONG, Seung Woo` ` ` ` ` ;`MOON JAI HEE` ` ` ` ` ;`SHIN, Jae Sik` ` ` ` ` ;`KIM SEUNG MI` ` ` ` ` ;`LEE, Dae Hee` ` ` ` ` ;`LEE EUN YOUNG` ` ` ` ` ;`LEE, Seul` ` ` ` ` ;`HONG YONG SANG` ` ` ` `	10	`Wellmarker Bio Co., Ltd.` `WELLMARKER BIO`corporate` `	1	7	0	0	0	0	0	C12Q 1/68;C12Q 1/6886	A61P 35/00;A61P 43/00;C12Q 1/6886;C12Q 2600/106;C12Q 2600/158;C12Q 1/68;A61K 31/7088;C12Q 1/6844;C12Q 2600/118;C12Q 2600/156;C12Q 2600/178	WELLMARKER BIO	
EP3457842B1	Grant	2020	2020-03-25	B1	EP	FACILITY FOR HANDLING AND STORING BIOLOGICAL SAMPLES AT VERY LOW TEMPERATURES	EP20170723123	2017	2017-05-15	2016	2016;2017	FR16054373__2016-05-17_national;FR1654373__2016-05-17_docdb;EP2017061632__2017-05-15_docdb;1654373___original;EP2017061632___original;FR20160054373___epodoc;WO2017EP61632___epodoc	FR`PRIVAT DE FORTUNE, Matthieu`6 Rue de la Distillerie` ` ` ` ;FR`MAROT, Gérard`188 Allée des Martagons` ` ` ` ;FR`CUNRATH, Aymeric`153 Impasse George Sand` ` ` ` ;FR`BRIAND, Yohan`432 Route de la Chatelonnière` ` ` ` ;FR`TANG, Rattena`39 Rue Thiers` ` ` `	5	FR`Irelec` `IRELEC` ` `	1	15	1	13	12	0	1	A01N 1/02;G01N 1/42;G01N 35/00	A01N 1/0242;G01N 1/42;G01N 35/0099;A61B 10/0096;B01L 3/508;F25D 25/02;F25D 25/021;F25D 25/024;F25D 25/025;F25D 25/028;G01N 35/00732;G01N 2035/00752	FR`IRELEC	
US2020066374A1	Application	2020	2020-02-27	A1	US	SYSTEMS AND METHODS EMPLOYING IMMORTALIZED INDUCED PLURIPOTENT STEM CELLS AS A PLATFORM FOR UNLIMITED LIFETIME GENETIC ANALYSIS	US201816488210	2018	2018-02-23	2018	2018	US201816488210__2018-02-23_national	US`Smith Robin Y.` ` ` ` ` ;US`Glicksman Marcie A.` ` ` ` ` ;US`Blanchard Kate` ` ` ` `	3	US`Orig3n, Inc.` `ORIG3N`corporate` `	1	75	26	0	0	0	0	G16B 20/20;C12N 5/077;G01N 33/50;G16B 50/00;G16H 20/00;G16H 50/20	G16B 20/00;G16B 50/00;G16H 20/00;G16H 50/20;C12N 5/0657;G01N 33/5061;G16B 20/20	US`ORIG3N	
US2020048609A1	Application	2020	2020-02-13	A1	US	METHODS AND COMPOSITIONS FOR GENERATING HEMATOPOIETIC CELLS	US201616343617	2016	2016-10-21	2016	2016	US201616343617__2016-10-21_national	SE`SAXENA Shobhit` ` ` ` ` ;SE`RÖNN Roger` ` ` ` `	2	SE`Longboat Amniotics` `LONGBOAT AMNIOTICS` ` `	1	17	2	0	0	0	0	C12N 5/0789	C12N 5/0647;C12N 2501/01	SE`LONGBOAT AMNIOTICS	
KR102070257BB1	Grant	2020	2020-01-28	B1	KR	KNOCK-IN MOUSE HOMOLOGOUS RECOMBINATED BY BANK VOLE'S PRION PROTEIN GENE WHICH 109TH AMINO ACID IS METHIONINE AND FROM 23TH TO 89TH AMINO ACID CODING SEQUENCES ARE ELIMINATED, AND APPLICATIONS THEREOF	KR20170145973	2017	2017-11-03	2017	2017	KR20170145973__2017-11-03_docdb;KR20170145973___epodoc	`전용필`서울특별시 동대문구` ` ` ` ;`류종석`경기도 안산시` ` ` `	2	KR`INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS` `INDUSTRY UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY`university`HANYANG UNIVERSITY`	1	12	7	0	0	0	0	A01K 67/027;C07K 14/47;C12N 15/85	A01K 67/278;C07K 14/47;C12N 15/8509;A01K 2217/72;A01K 2217/206;A01K 2227/105;A01K 2267/306;C12N 2015/8536	KR`SUNGSHIN WOMEN`S UNIVERSITY IND ACADEMIC COOPERATION FOUNDATION	
EP3586799A1	Application	2020	2020-01-01	A1	EP	BONE PROSTHESIS	EP20190168076	2019	2019-04-09	2018	2018	IT201800006534__2018-06-21_national;IT201800006534__2018-06-21_docdb;IT201800006534___epodoc	IT`BELTRAMI, Giovanni`VIA ODOARDO BECCARI, 40` ` ` `	1	IT`Adler Ortho S.p.a.` `ADLER ORTHO`corporate` ` ;IT`Azienda Ospedaliero-Universitaria Careggi` `AZIENDA OSPEDALIERO UNIVERSITARIA CAREGGI` ` `	2	10	1	12	12	0	0	A61F 2/28	A61F 2/28;A61F 2/34;A61F 2002/2835;A61F 2002/30578;A61F 2002/3082	IT`ADLER ORTHO S P A;IT`AZIENDA OSPEDALIERO UNIVERSITARIA CAREGGI	
IT201800006534A1	Application	2019	2019-12-21	A1	IT	Perfected prosthesis.	IT20180006534	2018	2018-06-21	2018	2018	IT201800006534__2018-06-21_docdb;IT201800006534___epodoc	 	0	 	0	0	0	12	12	0	0	 	A61F 2/28;A61F 2/34;A61F 2002/2835;A61F 2002/30578;A61F 2002/3082	 	
EP3439610A4	Application	2019	2019-12-18	A4	EP	THERAPEUTIC USE OF ELECTROACUPUNCTURE-INDUCED MESENCHYMAL STEM CELLS	EP20170779824	2017	2017-04-06	2016	2016;2017	US62319239__2016-04-06_national;US201662319239__2016-04-06_docdb;US2017026358__2017-04-06_docdb;US201662319239P___epodoc;WO2017US26358___epodoc	US`GRANT, Maria, A.`16371 SW 137th Ave.` ` ` ` ;US`SALAZAR, Tatiana, E.`3272 Maitland Dr.,` ` ` ` ;US`XIE, Huisheng`9289 SW 31st Place` ` ` `	3	US`University of Florida Research Foundation, Inc.` `UNIVERSITY OF FLORIDA RESEARCH FOUNDATION`university`UNIVERSITY OF FLORIDA`	1	0	0	4	2	0	2	A61K 35/28;A61H 39/00;A61H 39/08;A61N 1/20;A61N 1/36;A61P 29/00;C12N 5/0775	A61H 39/002;A61H 39/086;A61H 2203/03;A61K 35/28;A61N 1/36017;A61P 29/00;A61N 1/20;C12N 5/0663;C12N 2529/00;A61K 9/0019;A61K 38/193;A61K 38/20;C12N 5/0665	US`UNIVERSITY OF FLORIDA RESEARCH FOUNDATION	
SG11201910115XA	Application	2019	2019-11-28	A	SG	RNAI APPROACH FOR CROP PEST PROTECTION	SG20191110115X	2018	2018-05-01	2017	2017;2018	US62492556__2017-05-01_national;US201762492556__2017-05-01_docdb;US2018030506__2018-05-01_docdb;US201762492556P___epodoc;WO2018US30506___epodoc	US`VENKATA, Bala P.`US` ` ` `	1	US`DONALD DANFORTH PLANT SCIENCE CENTER` `DONALD DANFORTH PLANT SCIENCE CENTER` ` `	1	0	0	0	0	0	0	A01N 63/00;A61K 31/713;C12N 15/113;C12N 15/63	A01N 63/00;A61K 31/713;C12N 15/113;C12N 2310/14;C12N 15/63;C12N 15/8286;C12N 2310/531	US`DONALD DANFORTH PLANT SCIENCE CENTER	
US10472678B2	Grant	2019	2019-11-12	B2	US	Reagent for detecting cross contamination of PDX-model related with human and mouse, the kit comprising the same, and the method for the cross contamination detection	US201715582773	2017	2017-05-01	2016	2016	KR1020160054458__2016-05-03_national	KR`Choi Yoon La` ` ` ` ` ;KR`Lee Yun Su` ` ` ` `	2	KR`ABION INC` `ABION`corporate` `	1	6	4	8	8	0	0	C12Q 1/68;C07H 21/04;C12Q 1/6881	C12Q 1/6886;C12Q 2600/158;C12Q 1/6888;C12Q 1/6881	KR`ABION	
EP3313504B1	Grant	2019	2019-10-30	B1	EP	SELECTIVE STIMULATION WITH COCHLEAR IMPLANTS	EP20160818568	2016	2016-06-28	2015	2015;2016	US62185766__2015-06-29_national;US201562185766__2015-06-29_docdb;US2016039717__2016-06-28_docdb;201562185766 P___original;US2016039717___original;US201562185766P___epodoc;WO2016US39717___epodoc	AT`SCHLEICH, Peter`Kapfweg 11` ` ` ` ;AT`MEISTER, Dirk`Mitterweg 129b` ` ` `	2	AT`MED-EL Elektromedizinische Geraete GmbH` `MED EL ELEKTROMEDIZINISCHE GERAETE`corporate` `	1	16	2	11	10	0	1	A61N 1/05;A61N 1/36	A61N 1/0541;A61N 1/36038	AT`MED EL ELEKTROMEDIZINISCHE GERAETE	
US10443103B2	Grant	2019	2019-10-15	B2	US	Chemotherapy regimen selection	US201615248814	2016	2016-08-26	2016	2016	US201615248814__2016-08-26_national	US`Zhang Jinfeng` ` ` ` ` ;US`Yu Kaixian` ` ` ` ` ;US`Sang Amy Qingxiang` ` ` ` `	3	US`Innomedicine, LLC` `INNOMEDICINE`corporate` `	1	2	2	9	0	0	9	C12Q 1/6886;A61K 31/337;A61K 31/704;G01N 33/574;G16H 50/50	C12Q 1/6886;C12Q 2600/106;C12Q 2600/158;G01N 33/57415;G01N 33/57484;G01N 2800/60;A61K 31/337;A61K 31/704;G01N 2800/52;G16B 20/00;G16B 25/10;G16B 40/00;G16H 50/50;G16C 20/60;G16B 35/00;A61K 2300/00	US`INNOMEDICINE	
IL234764A	Application	2019	2019-09-26	A	IL	Apparatus for local application of an extremely low frequency magnetic field to cells	IL20140234764	2014	2014-09-21	2012	2012;2013	RO201200201__2012-03-21_national;RO201200201__2012-03-21_docdb;EP2013055941__2013-03-21_docdb;201200201___original;PCT/EP/2013/055941___original;RO20120000201___epodoc;WO2013EP55941___epodoc	RO`VLADILA BOGDAN CONSTANTIN`CALEA 13 SEPTEMBRIE NR. 235, BL V3, SC 2 R-CP…050723 BUCHAREST RO` ` ` ` ;`VLADILA BOGDAN CONSTANTIN`CALEA 13 SEPTEMBRIE NR. 235, BL V3, SC 2 R-CP…050723 BUCHAREST RO` ` ` `	2	RO`VLADILA BOGDAN CONSTANTIN` `VLADILA BOGDAN CONSTANTIN` ` ` ;`VLADILA BOGDAN CONSTANTIN` ` ` ` `	2	0	0	0	0	0	0	A61N 2/00	A61N 2/004;A61N 2/02;A01G 7/04;C12N 13/00	RO`VLADILA BOGDAN CONSTANTIN	
US2019277868A1	Application	2019	2019-09-12	A1	US	FACILITY FOR HANDLING AND STORING BIOLOGICAL SAMPLES AT VERY LOW TEMPERATURES	US201716302487	2017	2017-05-15	2016	2016	FR16054373__2016-05-17_national	FR`PRIVAT DE FORTUNE Matthieu` ` ` ` ` ;FR`MAROT Gerard` ` ` ` ` ;FR`CUNRATH Aymeric` ` ` ` ` ;FR`BRIAND Yohan` ` ` ` ` ;FR`TANG Rattena` ` ` ` `	5	FR`IRELEC` `IRELEC` ` `	1	17	2	0	0	0	0	G01N 35/00;B01L 3/00	A01N 1/0242;G01N 1/42;G01N 35/0099;A61B 10/0096;B01L 3/508;F25D 25/02;F25D 25/021;F25D 25/024;F25D 25/025;F25D 25/028;G01N 35/00732;G01N 2035/00752	FR`IRELEC	
SG11201905508VA	Application	2019	2019-08-27	A	SG	HSD17B13 VARIANTS AND USES THEREOF	SG20191105508V	2018	2018-01-19	2017	2017;2018	US62449335__2017-01-23_national;US62472972__2017-03-17_national;US62581918__2017-11-06_national;US201762449335__2017-01-23_docdb;US201762472972__2017-03-17_docdb;US201762581918__2017-11-06_docdb;US2018014454__2018-01-19_docdb;62/449,335___original;62/472,972___original;62/581,918___original;PCT/US2018/014454___original;US201762449335P___epodoc;US201762472972P___epodoc;US201762581918P___epodoc;WO2018US14454___epodoc	US`ABUL-HUSN, Noura`US` ` ` ` ;US`GOTTESMAN OMRI`US` ` ` ` ;US`LI, Alexander`US` ` ` ` ;US`CHENG XIPING`US` ` ` ` ;US`XIN, Yurong`US` ` ` ` ;US`PEFANIS EVANGELOS`US` ` ` ` ;US`HARTFORD, Suzanne`US` ` ` ` ;US`GROMADA JESPER`US` ` ` ` ;US`DEWEY, Frederick`US` ` ` ` ;US`BARAS ARIS`US` ` ` ` ;US`SHULDINER, Alan`US` ` ` `	11	US`REGENERON PHARMACEUTICALS, INC.` `REGENERON PHARMACEUTICALS`corporate`REGENERON PHARMACEUTICALS`	1	0	0	0	0	0	0	C12N 15/113;C12Q 1/6883	A61K 38/443;A61K 38/465;A61P 1/16;C12N 9/0006;C12N 9/22;C12N 9/96;C12N 15/1137;C12N 2310/14;C12N 2310/20;C12N 2310/531;C12N 2320/34;C12Q 1/6883;C12Q 2600/156;C12Y 101/01051;C12Y 101/01062;A61K 47/61;A61K 48/00;C12N 15/11;C12N 15/85;C12N 15/907;C12N 2800/24;C12N 2800/80;C12Q 1/32;C12Q 1/6827;C12Q 1/6876;C12Q 2600/118;C12Q 2600/158	US`REGENERON PHARMA	
US10394828B1	Grant	2019	2019-08-27	B1	US	Methods, systems and computer readable storage media for generating quantifiable genomic information and results	US201514696714	2015	2015-04-27	2015	2015	US201514696714__2015-04-27_national	US`Qin Zhaohui` ` ` ` ` ;US`Wang Fusheng` ` ` ` ` ;US`Pittard William Stephen` ` ` ` `	3	US`Emory University` `EMORY UNIVERSITY`university`EMORY UNIVERSITY`	1	18	6	89	70	0	19	G06F 16/2457;G16B 50/00	G16B 50/00;G06F 16/24578;G06F 17/3053 ;G06F 16/24578 ;C12Q 1/6809  ;C07K 14/4702  ;C07K 14/005  ;A61B 17/221  ;A61F 2/32  ;G06Q 50/24  ;G16B 5/00  ;G16B 50/00  ;C12N 15/111  ;C12Q 1/6881  ;A61K 38/1709  ;G16B 35/00  ;G16B 40/00  ;C12Q 1/6813  ;G04R 60/10  ;G16B 30/00  ;C07D 401/12  ;G06F 19/12	US`EMORY UNIVERSITY	
RU2697326C2	Grant	2019	2019-08-13	C2	RU	METHOD OF SURFACE CONTROLLED ACUPUNCTURE	RU20170146793	2017	2017-12-28	2017	2017	RU2017146793__2017-12-28_docdb;RU20170146793___epodoc	RU`Reva Vadim Grigorevich` ` ` ` `	1	RU`Reva Vadim Grigorevich` `REVA VADIM GRIGOREVICH` ` `	1	1	1	6	2	0	4	A61H 39/04;A61H 33/00	A61H 33/00;A61H 39/04	RU`REVA VADIM GRIGOREVICH	
KR102010632BB1	Grant	2019	2019-08-13	B1	KR	Reagent for detecting cross contamination of PDX-model related with human and mouse, the kit comprising the same, and the method for the cross contamination detection	KR20160054458	2016	2016-05-03	2016	2016	KR20160054458__2016-05-03_docdb;KR20160054458___epodoc	KR`최윤라`서울특별시 강남구` ` ` ` ;KR`이윤수`경기도 부천시` ` ` `	2	KR`ABION INC.` `ABION`corporate` `	1	7	5	0	0	0	0	C12Q 1/68	C12Q 1/6886;C12Q 2600/158;C12Q 1/6888;C12Q 1/6881	KR`ABION	
RU2017146793A3	Application	2019	2019-07-17	A3	RU	 	RU20170146793	2017	2017-12-28	2017	2017	RU2017146793__2017-12-28_docdb;RU20170146793___epodoc	 	0	 	0	0	0	0	0	0	0	 	 	 	
IN201941026004A	Application	2019	2019-07-05	A	IN	A NEW TECHNIQUE AND NEEDLE FOR LAPAROSCOPIC SURGICAL SUTURING	IN201941026004	2019	2019-06-28	2019	2019	IN201941026004__2019-06-28_national	`DR. GNANARAJ JESUDIAN` ` ` ` `	1	`KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES` `KARUNYA INSTITUTE OF TECHNOLOGY & SCIENCES`university` `	1	3	0	0	0	0	0	A61B 17/00	 	KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES	
RU2017146793A	Application	2019	2019-06-28	A	RU	METHOD OF SURFACE CONTROLLED ACUPUNCTURE	RU20170146793	2017	2017-12-28	2017	2017	RU2017146793__2017-12-28_docdb;RU20170146793___epodoc	RU`Рева Вадим Григорьевич` ` ` ` `	1	RU`Рева Вадим Григорьевич` `REVA VADIM GRIGOREVICH` ` `	1	1	0	0	0	0	0	A61H 39/04;A61H 33/00	A61H 33/00;A61H 39/04	RU`REVA VADIM GRIGOREVICH	
US10331626B2	Grant	2019	2019-06-25	B2	US	Minimization of surprisal data through application of hierarchy filter pattern	US201414476234	2014	2014-09-03	2014	2014	US201414476234__2014-09-03_national	US`Friedlander Robert R.` ` ` ` ` ;US`Kraemer James R.` ` ` ` `	2	US`International Business Machines Corporation` `INTERNATIONAL BUSINESS MACHINES`corporate`IBM`	1	13	4	196	119	0	77	G06F 16/174;G06F 16/2457;G16B 30/00;G16B 50/00	G06F 16/1744;G06F 16/24578;G16B 30/00;G16B 50/00;G06F 19/10 ;G06F 19/22 ;G06F 19/28 ;G06F 19/18 ;G06F 19/24 ;G06F 2209/484 ;G06F 9/52 ;G06F 16/1744 ;G06F 12/0877 ;G06F 12/1408 ;G06F 16/13 ;G06F 16/9024 ;G06F 19/14 ;G06F 19/26 ;G06F 19/70 ;G06F 21/6245 ;G06F 2212/1052 ;G06F 2212/6042 ;G06F 16/137 ;G06F 16/24578 ;G06F 16/90344 ;G06F 17/30985 ;G06F 19/12 ;G06F 19/321 ;G06F 3/0608 ;G06F 3/0647 ;G06F 3/0661 ;G06F 3/0673 ;G06F 16/2228 ;G06F 16/2365 ;G06F 16/2455 ;G06F 16/24575 ;G06F 16/284 ;G06F 16/285 ;G06F 17/30153 ;G06F 17/30321 ;G06F 17/3053 ;G06F 19/00 ;G06F 19/3418 ;G06F 19/3431 ;G06F 21/62 ;G06F 21/6254 ;G06F 21/76 ;G06F 2221/2107 ;H04L 45/00 ;H04L 67/10 ;H04L 2209/88 ;H04L 63/0435 ;H04L 65/607 ;H04L 67/12 ;H04L 69/04 ;H04L 9/008 ;H04L 9/0618 ;H04L 2209/30 ;H04L 2209/34 ;H04L 63/0428 ;H04L 63/0471 ;H04L 9/0861 ;H04L 9/0869 ;H04L 9/0894 ;H04L 9/12 ;H04L 9/14 ;H04L 9/3231 ;G06N 7/005 ;G06N 3/002 ;G06N 10/00 ;H03M 7/30 ;H03M 7/3068 ;H03M 7/40 ;H03M 13/00 ;H03M 7/3088 ;H03M 7/3093 ;H03M 7/42 ;H03M 7/70 ;G06K 9/6269 ;G06K 9/6297 ;G16H 10/60 ;G16H 30/20 ;G16H 50/30 ;G16B 30/00 ;G16B 50/00 ;G16C 99/00 ;H03M 7/3084  ;G06F 19/22	US`INTERNATIONAL BUSINESS MACHINES	
US2019180850A1	Application	2019	2019-06-13	A1	US	System and Method for Authenticated Exchange of Biosamples	US201816124442	2018	2018-09-07	2018	2018	US201816124442__2018-09-07_national	US`Shvartsman Dmitry` ` ` ` `	1	US`Shvartsman Dmitry` ` ` ` `	1	8	4	3	0	3	0	G16H 10/40;C12Q 1/6869	G16H 10/40;A61B 10/0096;C12Q 1/6869;C12Q 2563/185	US`SHVARTSMAN DMITRY	
WO2019097488A1	Application	2019	2019-05-23	A1	WO	DEVICE FOR ELECTRICAL AND MAGNETIC TISSUE STIMULATION	WO2018IB59075	2018	2018-11-17	2017	2017	CONC20170011756__2017-11-17_national;CO2017011756__2017-11-17_docdb;NC2017/0011756___original;CO20170011756___epodoc	CO`VELASCO VALCKE, Francisco Javier`Carrera 5 No. 34 - 03, Bogotá` ` ` `	1	US`PANACEA QUANTUM LEAP TECHNOLOGY LLC` `PANACEA QUANTUM LEAP TECHNOLOGY`corporate` `	1	19	2	12	12	0	0	A61N 1/00	A61N 1/00;A61N 2/00;A61N 1/0428;A61N 1/0468;A61N 2/002	US`PANACEA QUANTUM LEAP TECH	
CO2017011756A1	Application	2019	2019-05-21	A1	CO	Device and magnetic electrical stimulation of tissue	CO20170011756	2017	2017-11-17	2017	2017	CO2017011756__2017-11-17_docdb;CO20170011756___epodoc	CO`VELASCO VALCKE, FRANCISCO JAVIER` ` ` ` `	1	US`PANACEA QUANTUM LEAP TECHNOLOGY LLC.` `PANACEA QUANTUM LEAP TECH`corporate` `	1	0	0	0	0	0	0	A61N 1/00;A61N 2/00	A61N 1/00;A61N 2/00	US`PANACEA QUANTUM LEAP TECH	
KR20190050508A	Application	2019	2019-05-13	A	KR	KNOCK-IN MOUSE HOMOLOGOUS RECOMBINATED BY BANK VOLE'S PRION PROTEIN GENE WHICH 109TH AMINO ACID IS METHIONINE AND APPLICATIONS THEREOF	KR20170145976	2017	2017-11-03	2017	2017	KR20170145976__2017-11-03_docdb;KR20170145976___epodoc	`CHEON YONG PIL`서울특별시 동대문구 한빛로 73 용두롯대케슬리치 105-303` ` ` ` ;`RYOU CHONGSUK`경기도 안산시 상록구 한양대학로 55 한양대학교 약학화 308호` ` ` `	2	KR`SUNGSHIN WOMEN′S UNIVERSITY INDUSTRY-ACADEMIC COOPERATION FOUNDATION` `SUNGSHIN WOMEN&PRIME S UNIVERSITY INDUSTRY ACADEMIC COOPERATION FOUNDATION`university` ` ;KR`INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS` `INDUSTRY UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY`university`HANYANG UNIVERSITY`	2	12	7	8	2	0	6	A01K 67/027;C07K 14/47;C12N 15/85	A01K 67/278;C07K 14/47;C12N 15/8509;A01K 2217/72;A01K 2217/206;A01K 2227/105;A01K 2267/306;C12N 2015/8536	KR`SUNGSHIN WOMEN`S UNIVERSITY IND ACADEMIC COOPERATION FOUNDATION;KR`IUCF HYU	
KR20190050507A	Application	2019	2019-05-13	A	KR	KNOCK-IN MOUSE HOMOLOGOUS RECOMBINATED BY BANK VOLE'S PRION PROTEIN GENE WHICH 109TH AMINO ACID IS METHIONINE AND FROM 23TH TO 89TH AMINO ACID CODING SEQUENCES ARE ELIMINATED, AND APPLICATIONS THEREOF	KR20170145973	2017	2017-11-03	2017	2017	KR20170145973__2017-11-03_docdb;KR20170145973___epodoc	`CHEON YONG PIL`서울특별시 동대문구 한빛로 73 용두롯대케슬리치 105-303` ` ` ` ;`RYOU CHONGSUK`경기도 안산시 상록구 한양대학로 55 한양대학교 약학화 308호` ` ` `	2	KR`SUNGSHIN WOMEN′S UNIVERSITY INDUSTRY-ACADEMIC COOPERATION FOUNDATION` `SUNGSHIN WOMEN&PRIME S UNIVERSITY INDUSTRY ACADEMIC COOPERATION FOUNDATION`university` ` ;KR`INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS` `INDUSTRY UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY`university`HANYANG UNIVERSITY`	2	12	7	8	2	0	6	A01K 67/027;C07K 14/47;C12N 15/85	A01K 67/278;C07K 14/47;C12N 15/8509;A01K 2217/72;A01K 2217/206;A01K 2227/105;A01K 2267/306;C12N 2015/8536	KR`SUNGSHIN WOMEN`S UNIVERSITY IND ACADEMIC COOPERATION FOUNDATION;KR`IUCF HYU	
KR20190050505A	Application	2019	2019-05-13	A	KR	KNOCK-IN MOUSE HOMOLOGOUS RECOMBINATED BY BANK VOLE'S PRION PROTEIN GENE WHICH 109TH AMINO ACID IS ISOLEUCINE AND APPLICATIONS THEREOF	KR20170145970	2017	2017-11-03	2017	2017	KR20170145970__2017-11-03_docdb;KR20170145970___epodoc	`CHEON YONG PIL`서울특별시 동대문구 한빛로 73 용두롯대케슬리치 105-303` ` ` ` ;`RYOU CHONGSUK`경기도 안산시 상록구 한양대학로 55 한양대학교 약학화 308호` ` ` `	2	KR`SUNGSHIN WOMEN′S UNIVERSITY INDUSTRY-ACADEMIC COOPERATION FOUNDATION` `SUNGSHIN WOMEN&PRIME S UNIVERSITY INDUSTRY ACADEMIC COOPERATION FOUNDATION`university` ` ;KR`INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY ERICA CAMPUS` `INDUSTRY UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY`university`HANYANG UNIVERSITY`	2	12	7	8	2	0	6	A01K 67/027;C07K 14/47;C12N 15/85	A01K 67/278;C07K 14/47;C12N 15/8509;A01K 2217/72;A01K 2217/206;A01K 2227/105;A01K 2267/306;C12N 2015/8536	KR`SUNGSHIN WOMEN`S UNIVERSITY IND ACADEMIC COOPERATION FOUNDATION;KR`IUCF HYU	
KR101951405BB1	Grant	2019	2019-05-08	B1	KR	KIT FOR SPECIMEN-REAGENT RESPONSE ANALYSIS, TARGET NUCLEIC ACIDS DETECTION APPARATUS AND METHOD USING THE SAME	KR20170081778	2017	2017-06-28	2017	2017	KR20170081778__2017-06-28_docdb;KR20170081778___epodoc	KR`박승교`대전광역시 유성구` ` ` ` ;KR`이영`대전광역시 유성구` ` ` ` ;KR`최신영`대전광역시 유성구` ` ` `	3	KR`PANAGENE INC.` `PANAGENE`corporate` `	1	11	2	0	0	0	0	B01L 3/00;B01L 7/00;C12Q 1/68	B01L 3/502;B01L 3/50851;B01L 3/50853;B01L 7/52;B01L 2200/0642;B01L 2200/0663;B01L 2200/0684;B01L 2200/0689;C12Q 1/6816;C12Q 2563/107;C12Q 2565/1015	KR`PANAGENE	
KR101946557BB1	Grant	2019	2019-05-03	B1	KR	Method and system for registering　and managing gene information　using block chain	KR20180055546	2018	2018-05-15	2018	2018	KR20180055546__2018-05-15_docdb;1020180055546___original;KR20180055546___epodoc	`CHOI JUNG HWAN`서울특별시 강남구 테헤란로53길 60-2, 302호(역삼동)` ` ` `	1	KR`KOREAMAPILGEORAESO CO., LTD.` `KOREAMAPILGEORAESO`corporate` `	1	9	2	5	4	1	0	G06Q 50/22;G06Q 20/06;G06Q 30/06;G16B 5/00;H04L 29/08	G06Q 20/065;G06Q 20/367;G06Q 30/0619;G06Q 50/22;G16B 99/00;H04L 67/1097	KR`KOREAMAPILGEORAESO	
US2019117699A1	Application	2019	2019-04-25	A1	US	THERAPEUTIC USE OF ELECTROACUPUNCTURE-INDUCED MESENCHYMAL STEM CELLS	US201716092119	2017	2017-04-06	2017	2017	US201716092119__2017-04-06_national	US`GRANT Maria A.` ` ` ` ` ;US`SALAZAR Tatiana E.` ` ` ` ` ;US`XIE Huisheng` ` ` ` `	3	US`UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INC.` `UNIVERSITY OF FLORIDA RESEARCH FOUNDATION`university`UNIVERSITY OF FLORIDA`	1	25	6	0	0	0	0	A61K 35/28;A61H 39/00;A61K 9/00;A61K 38/19;A61K 38/20;A61P 29/00;C12N 5/0775	A61H 39/002;A61H 39/086;A61H 2203/03;A61K 35/28;A61N 1/36017;A61P 29/00;A61N 1/20;C12N 5/0663;C12N 2529/00;A61K 9/0019;A61K 38/193;A61K 38/20;C12N 5/0665	US`UNIVERSITY OF FLORIDA RESEARCH FOUNDATION	
